roll_number,legal,address,land_area,land_area_unit,subdivision,zoning,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
10100,7732R A 22,10002 - 100 AVENUE,7,Acres,Town of Morinville,Primary Commercial,7,Acres,2014,"328,650",10002,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1P7,53.80211,-113.64509
101000,7620979 14 3,728 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"281,780",728,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.80232,-113.630082
101100,7620979 14 4,726 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"250,040",726,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.80215,-113.630024
101200,7620979 14 5,724 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"272,530",724,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.8020218,-113.6298297
101300,7620979 14 6,722 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"298,400",722,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.801871,-113.629781
101400,7620979 14 7,720 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"276,130",720,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.8017398,-113.6296324
101500,7620979 14 8,718 GRANDIN DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"267,370",718,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.8016441,-113.6295281
101600,7620979 14 9,716 GRANDIN DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"260,520",716,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1K2,53.8014545,-113.6294254
101700,7620979 14 10,9102 MORINVILLE DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"265,610",9102,Morinville Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8011577,-113.6291342
101800,7620979 14 11,9104 MORINVILLE DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"271,870",9104,Morinville Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8010914,-113.6293829
101900,7620979 14 12,9106 MORINVILLE DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"276,130",9106,Morinville Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.801007,-113.6295933
10200,"7732R A 23,24",10008 - 100 AVENUE,13,Acres,Town of Morinville,Primary Commercial,13,Acres,2014,"299,550",10008,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1P7,53.802096,-113.645348
102000,7620979 14 13,9901 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"295,340",9901,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.801004,-113.629818
102100,7620979 14 14,9903 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"266,730",9903,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8012181,-113.6301182
102200,7620979 14 15,9905 - 92 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"296,720",9905,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8013585,-113.6302374
102300,7620979 14 16,9907 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"282,140",9907,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8015024,-113.6303331
102400,7620979 14 17,9909 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"291,310",9909,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.801673,-113.6305479
102500,7620979 14 18,9911 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"280,230",9911,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8017779,-113.6306165
102600,7620979 14 19,9913 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"286,530",9913,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.80192,-113.630654
102700,7620979 14 20,9915 - 92 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"302,250",9915,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.802098,-113.630527
102800,7620979 14 21,9917 - 92 STREET,10,Acres,Town of Morinville,Single Detached Residential,10,Acres,2014,"306,900",9917,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.802311,-113.630675
102900,7620979 14 22,9919 - 92 STREET,10,Acres,Town of Morinville,Single Detached Residential,10,Acres,2014,"345,200",9919,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.802365,-113.630945
10300,7732R A 25,10018 - 100 AVENUE,6,Acres,Town of Morinville,Primary Commercial,6,Acres,2014,"496,170",10018,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1P7,53.802099,-113.645824
103000,7620979 14 23,9202 - 99A AVENUE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"300,340",9202,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8022115,-113.6314021
103100,7620979 14 24,9204 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"281,830",9204,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8019798,-113.6315367
103200,7620979 14 25,9206 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"289,980",9206,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8019212,-113.6317438
103300,7620979 14 26,9208 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"278,080",9208,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.80196,-113.63203
103400,7620979 14 27,9210 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"244,540",9210,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8017952,-113.6321891
103500,7620979 14 28,9212 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"268,760",9212,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8018368,-113.6325157
103600,7620979 14 29,9302 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"286,860",9302,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8014384,-113.63345
103700,7620979 14 30,9304 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"277,670",9304,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.801432,-113.6334728
103800,7620979 14 31,9306 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"267,140",9306,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8014256,-113.6334955
103900,7620979 14 32,9308 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"262,290",9308,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8014195,-113.6335175
104000,7620979 14 33,9310 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"255,770",9310,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8014744,-113.633584
104100,7620979 14 34,9312 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"251,980",9312,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8014082,-113.6335629
104200,7620979 14 35,9402 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"263,310",9402,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8012353,-113.6345954
104300,7620979 14 36,9404 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"269,470",9404,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8012348,-113.6346195
104400,7620979 14 37,9406 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"263,040",9406,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8013298,-113.6346485
104500,7620979 14 38,9408 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"265,150",9408,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8014013,-113.634891
104600,7620979 14 39,9410 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"258,220",9410,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8012258,-113.635117
104700,7620979 14 40,9412 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"254,750",9412,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8012215,-113.6353519
104800,7620979 14 41,9414 - 99A AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"298,070",9414,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8013734,-113.6356399
104900,7620979 14 42,9416 - 99A AVENUE,10,Acres,Town of Morinville,Single Detached Residential,10,Acres,2014,"283,280",9416,99A Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.801195,-113.6356753
10500,VIIIA 1 1-3,10021 - 100 STREET,0.52,Acres,Town of Morinville,Public & Private Services,0.52,Acres,2014,"1,146,740",10021,100 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1R5,53.803453,-113.644367
105000,7620979 14 43,9914 - 95 STREET,10,Acres,Town of Morinville,Single Detached Residential,10,Acres,2014,"331,460",9914,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.80128,-113.636152
105100,7620979 14 44,9912 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"301,740",9912,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.801071,-113.636164
105200,7620979 14 45,9910 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"289,360",9910,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.8009185,-113.6361209
105300,7620979 14 46,9908 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"261,480",9908,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.8007696,-113.6361011
105400,7620979 14 47,9906 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"295,820",9906,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.800622,-113.636125
105500,7620979 14 48,9904 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"296,320",9904,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.800468,-113.636137
105600,7620979 14 49,9902 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"276,240",9902,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.800307,-113.636158
105700,7620979 14 50,9816 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"298,200",9816,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.8001312,-113.6360962
105800,7620979 14 51,9814 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"279,550",9814,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.800007,-113.636125
105900,7620979 14 52,9812 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"307,220",9812,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.7998687,-113.636102
106000,7620979 14 53,9810 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"288,570",9810,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.799689,-113.636143
106100,7620979 14 54,9808 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"264,600",9808,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.7995279,-113.6361108
106200,7620979 14 55,9806 - 95 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"285,420",9806,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.799377,-113.636149
106300,7620979 14 56,9804 - 95 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"303,950",9804,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.7992158,-113.636151
106400,7620979 14 57,9802 - 95 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"332,860",9802,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.7990556,-113.6360961
106500,7620979 14 59,9421 - 98 AVENUE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"263,450",9421,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.798883,-113.635761
106600,7620979 14 60,9419 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"293,060",9419,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7989759,-113.6354938
106700,7620979 14 61,9417 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"284,300",9417,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.798916,-113.635215
106800,7620979 14 62,9415 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"310,940",9415,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7989839,-113.6350584
106900,7620979 14 63,9413 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"279,580",9413,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7990367,-113.6348009
10700,VIIIA 1 4,10017 - 100 STREET,7,Acres,Town of Morinville,Public & Private Services,7,Acres,2014,"130,750",10017,100 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1R5,53.80302,-113.644317
107000,7620979 14 64,9411 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"258,990",9411,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7989979,-113.6345504
107100,7620979 14 65,9409 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"263,260",9409,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.798928,-113.634167
107200,7620979 14 66,9407 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"233,200",9407,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7990074,-113.6339833
107300,7620979 14 67,9405 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"271,100",9405,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7990019,-113.6337461
107400,7620979 14 68,9403 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"274,250",9403,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7990141,-113.6334397
107500,7620979 14 69,9401 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"271,340",9401,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7989993,-113.63318
107600,7620979 14 70,9309 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"238,420",9309,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.798999,-113.6329103
107700,7620979 14 71,9307 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"280,870",9307,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.7989958,-113.6326486
107800,7620979 14 72,9305 - 98 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"301,190",9305,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.798919,-113.632309
107900,7620979 14 73,9303 - 98 AVENUE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"278,870",9303,98 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1J4,53.798922,-113.632091
108000,7620979 14 74R,,3.41,Acres,Town of Morinville,Semi-Public,3.41,Acres,2014,"168,890",,,,,,,,,
108100,7620979 14 75R,,1.15,Acres,Town of Morinville,Semi-Public,1.15,Acres,2014,"73,170",,,,,,,,,
108200,7620979 15 1,9916 - 92 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"241,640",9916,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.801798,-113.631215
108300,7620979 15 2,9914 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"247,860",9914,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J6,53.8016956,-113.6311098
108400,7620979 15 3,9912 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"290,060",9912,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8015521,-113.631001
108500,7620979 15 4,9910 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"277,500",9910,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.801389,-113.630909
108600,7620979 15 5,9908 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"262,540",9908,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.801243,-113.6307532
108700,7620979 15 6,9906 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"244,090",9906,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8011683,-113.63068
108800,7620979 15 7,9904 - 92 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"246,150",9904,92 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8010109,-113.6305292
108900,7620979 15 8,9202 MORINVILLE DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"262,510",9202,Morinville Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8007238,-113.6303229
10900,"VIIIA 1 5,6",10013 - 100 STREET,15,Acres,Town of Morinville,Primary Commercial,15,Acres,2014,"599,410",10013,100 Street,Morinville,Alberta,Division No. 11,Canada,T8R 0A4,53.8027737,-113.6445189
109000,7620979 15 9,9204 MORINVILLE DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"292,390",9204,Morinville Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8006502,-113.6305758
109100,7620979 15 10,9206 MORINVILLE DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"264,570",9206,Morinville Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8005829,-113.6307052
109200,7620979 15 11,9208 MORINVILLE DRIVE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"276,730",9208,Morinville Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1J7,53.8004685,-113.6310031
109300,7620979 15 12,9903 - 93 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"262,920",9903,93 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.800798,-113.631069
109400,7620979 15 13,9905 - 93 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"282,760",9905,93 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8008715,-113.6314146
109500,7620979 15 14,9907 - 93 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"266,000",9907,93 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.801123,-113.631303
109600,7620979 15 15,9909 - 93 STREET,10,Acres,Town of Morinville,Single Detached Residential,10,Acres,2014,"303,170",9909,93 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.801241,-113.631563
109700,7620979 15 16,9302 - 99 AVENUE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"279,920",9302,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.801195,-113.631851
109800,7620979 15 17,9304 - 99 AVENUE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"314,750",9304,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8010194,-113.6321826
109900,7620979 15 18,9306 - 99 AVENUE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"261,320",9306,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8009705,-113.6323942
1100,7731R 1 12,10102 - 101A STREET,9,Acres,Town of Morinville,Single Detached Residential,9,Acres,2014,"357,020",10102,101A Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A6,53.8037953,-113.6485099
11000,9221586 1 14A,10003 - 100 STREET,1.57,Acres,Town of Morinville,Primary Commercial,1.57,Acres,2014,"2,519,250",10003,100 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1R5,53.802089,-113.643886
110000,7620979 15 19,9308 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"229,900",9308,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8008809,-113.6326931
110100,7620979 15 20,9310 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"279,830",9310,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8008266,-113.6328716
110200,7620979 15 21,9312 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"260,190",9312,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8007694,-113.6331151
110300,7620979 15 22,9314 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"276,590",9314,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.800801,-113.633321
110400,7620979 15 23,9402 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"301,770",9402,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8006823,-113.6337118
110500,7620979 15 24,9404 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"267,010",9404,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8006429,-113.6339103
110600,7620979 15 25,9406 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"274,350",9406,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8005817,-113.6342409
110700,7620979 15 26,9408 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"260,410",9408,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8005712,-113.6344637
110800,7620979 15 27,9410 - 99 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"289,320",9410,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.800629,-113.634652
110900,7620979 15 28,9412 - 99 AVENUE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"245,280",9412,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.8005089,-113.6349733
111000,7620979 15 29,9414 - 99 AVENUE,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"300,750",9414,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1K1,53.800513,-113.63534
111100,7620979 15 30,9907 - 95 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"290,690",9907,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.8006862,-113.6355255
111200,7620979 15 31,9909 - 95 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"290,320",9909,95 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1J5,53.8008712,-113.6355299
