Address,PID,Property LINC,Roll Number,Tax Year,Assessment Value,Description,Legal Description,Land Use District Code,Land Use Description,subdivision,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
1 HARVEST POINT,2736927,36356715,016125,2016,"$136,400.00",VACANT RESIDENTIAL LAND,Lot: 26 Block: 16 Plan: 142 4670,,,Spruce Grove,,Harvest Point,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3T3,53.5601566,-113.9549831
11 HERON LINK,2245792,32780298,011052,2016,"$525,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 3 Block: 8 Plan: 072 9049,,,Spruce Grove,,,,,,,,,
11 HEWITT CIRCLE,2534602,34486134,013152,2016,"$350,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 3 Block: 10 Plan: 102 5281,,,Spruce Grove,,Hewitt Circle,Spruce Grove,Alberta,Division No. 11,Canada,,53.5609373,-113.9488166
11 HICKORY TRAIL,2072775,31374861,008617,2016,"$441,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 15 Block: 3 Plan: 052 5834,,,Spruce Grove,11,Hickory Trail,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A6,53.5551308,-113.9321027
11 HILBORN COVE,2288336,33037474,011303,2016,"$530,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 68 Block: 3 Plan: 082 1150,,,Spruce Grove,,,,,,,,,
11 HILLDOWNS DR,1984189,30513692,007616,2016,"$384,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 42 Block: 6 Plan: 042 3190,,,Spruce Grove,11,Hilldowns Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4P7,53.5593132,-113.8913724
11 HILLWOOD TERRACE,2758385,36805936,016658,2016,"$161,500.00",VACANT RESIDENTIAL LAND,Lot: 47 Block: 8 Plan: 152 3840,,,Spruce Grove,,,,,,,,,
51 WESTVIEW CRES,1377086,17552044,001502,2016,"$384,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 37 Block: 2 Plan: 3083TR,,,Spruce Grove,51,Westview Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1K9,53.55532299999999,-113.898919
51 WINCHESTER AVE,1377253,19349992,001558,2016,"$351,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 28 Block: 3 Plan: 3083TR,,,Spruce Grove,51,Winchester Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1L6,53.555366,-113.906099
51 WOODHAVEN DR,1379737,19361088,001523,2016,"$316,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 58 Block: 2 Plan: 3083TR,,,Spruce Grove,51,Woodhaven Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1M6,53.553299,-113.902664
510 33 FIFTH AVE,2470835,34120139,012509,2016,"$272,600.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 80 Plan: 094 0864,,,Spruce Grove,33,5 Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2C5,53.54637,-113.898288
510 GROVE DR,2571776,34686766,009491,2016,"$5,722,100.00",EXEMPT MUNICIPAL RESERVE/UTIL,Lot: 3 Block: 2 Plan: 092 9992,,,Spruce Grove,510,Grove Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A7,53.5575514,-113.8741668
510 KING ST,1378842,16878605,000940,2016,"$328,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 22 Block: 7 Plan: 5340RS,,,Spruce Grove,510,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1A9,53.553633,-113.896619
510 QUEEN ST,1377361,19928754,000194,2016,"$332,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 18 Block: 14 Plan: 2289MC,,,Spruce Grove,510,Queen Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2J5,53.546251,-113.905429
511 KING ST,1379732,18540964,001477,2016,"$319,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 12 Block: 2 Plan: 3083TR,,,Spruce Grove,511,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1B1,53.553756,-113.89772
511 MCLEOD AVE,1379619,16972184,000237,2016,"$432,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 1 Block: 2 Plan: 5179MC,,,Spruce Grove,511,McLeod Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0J5,53.543052,-113.895673
512 33 FIFTH AVE,2470835,34120155,012511,2016,"$202,900.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 82 Plan: 094 0864,,,Spruce Grove,33,5 Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2C5,53.54637,-113.898288
513 33 FIFTH AVE,2470835,34120162,012512,2016,"$370,300.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 83 Plan: 094 0864,,,Spruce Grove,33,5 Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2C5,53.54637,-113.898288
513 KING ST,1379741,19361633,001476,2016,"$324,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 11 Block: 2 Plan: 3083TR,,,Spruce Grove,513,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1B1,53.553936,-113.8975169
514 33 FIFTH AVE,2470835,34120170,012513,2016,"$370,300.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 84 Plan: 094 0864,,,Spruce Grove,33,5 Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2C5,53.54637,-113.898288
514 KING ST,1378844,16878621,000942,2016,"$317,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 24 Block: 7 Plan: 5340RS,,,Spruce Grove,514,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1A9,53.553936,-113.896607
517 33 FIFTH AVE,2470835,34120204,012516,2016,"$272,600.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 87 Plan: 094 0864,,,Spruce Grove,33,5 Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2C5,53.54637,-113.898288
517 MCLEOD AVE,1379622,16972218,000240,2016,"$362,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 4 Block: 2 Plan: 5179MC,,,Spruce Grove,517,McLeod Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0J5,53.543035,-113.894442
518 33 FIFTH AVE,2470835,34120212,012517,2016,"$282,400.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 88 Plan: 094 0864,,,Spruce Grove,33,5 Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2C5,53.54637,-113.898288
518 KING ST,1378837,10333748,000944,2016,"$333,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 26 Block: 7 Plan: 5340RS,,,Spruce Grove,518,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1A9,53.5542872,-113.8967927
518 MCLEOD AVE,1381259,20792917,000287,2016,"$352,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 13A Block: 1 Plan: 1022NY,,,Spruce Grove,518,McLeod Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0J5,53.5425457,-113.8938975
519 KING ST,1379739,19361617,001473,2016,"$338,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 8 Block: 2 Plan: 3083TR,,,Spruce Grove,519,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1B1,53.554334,-113.897734
52 AUSTIN CRT,2618956,34962191,013893,2016,"$366,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 74 Block: 26 Plan: 112 4845,,,Spruce Grove,52,Austin Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R5,53.56725280000001,-113.9111415
52 BEVERLY AVE,1376594,13824990,001073,2016,"$336,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 9 Block: 3 Plan: 5805RS,,,Spruce Grove,52,Beverly Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1H5,53.549448,-113.888018
52 BRAMPTON ST,1376973,16582258,001282,2016,"$302,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 24 Block: 14 Plan: 5805RS,,,Spruce Grove,52,Brampton Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1E3,53.55457999999999,-113.886074
52 DEER PARK CRES,172786,29140779,005234,2016,"$481,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 19 Block: 8 Plan: 012 6160,,,Spruce Grove,52,Deer Park Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4J2,53.5605371,-113.9308711
52 FAIRWAY DR,1378408,28494607,007096,2016,"$522,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 60 Block: 8 Plan: 002 3065,,,Spruce Grove,52,Fairway Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3K3,53.56316,-113.899065
52 HAMMETT GATE,2726178,36208007,015871,2016,"$97,600.00",VACANT RESIDENTIAL LAND,Lot: 5 Block: 10 Plan: 142 3012,,,Spruce Grove,52,Hammett Gate,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B1,53.5588354,-113.8907934
52 HARTWICK LANDING,2064267,31296882,008368,2016,"$316,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 41 Block: 3 Plan: 052 5093,,,Spruce Grove,52,Hartwick Landing,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A5,53.558899,-113.9411937
52 HAZELWOOD LANE,2699638,35748862,014961,2016,"$338,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 20 Block: 10 Plan: 132 3221,,,Spruce Grove,,Hazelwood Lane,Spruce Grove,Alberta,Division No. 11,Canada,,53.5610799,-113.8877028
52 HEATHERGLEN CL,1378509,29052263,005134,2016,"$367,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 4 Block: 8 Plan: 012 4949,,,Spruce Grove,,,,,,,,,
52 HERON CRES,2245791,32780306,011053,2016,"$503,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 4 Block: 8 Plan: 072 9049,,,Spruce Grove,52,Heron Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0G1,53.562797,-113.943111
52 HERON POINT,2245801,32780090,011031,2016,"$529,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 159 Block: 1 Plan: 072 9049,,,Spruce Grove,52,Heron Point,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0E8,53.5619763,-113.9422561
52 HEWITT CIRCLE,2677489,35381946,014232,2016,"$387,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 17 Block: 10 Plan: 122 3791,,,Spruce Grove,,Hewitt Circle,Spruce Grove,Alberta,,Canada,,53.5609373,-113.9488166
52 HILLDOWNS DR,2288319,33037425,011333,2016,"$553,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 14 Block: 9 Plan: 082 1150,,,Spruce Grove,52,Hilldowns Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0J1,53.56169,-113.893035
52 HUDSON COVE,2699487,35748060,014927,2016,"$325,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 4 Block: 13 Plan: 132 3212,,,Spruce Grove,,Hudson Cove,Spruce Grove,Alberta,Division No. 11,Canada,,53.5601558,-113.9524336
52 LAMPLIGHT DR,2166496,32055361,009496,2016,"$552,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 32 Block: 1 Plan: 062 7193,,,Spruce Grove,52,Lamplight Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0G8,53.547951,-113.93688
52 LANDON CRES,2149579,31924970,009156,2016,"$376,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 5 Block: 21 Plan: 062 5740,,,Spruce Grove,52,Landon Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0E4,53.54784000000001,-113.874598
52 LANGLEY CRES,1378234,27938109,006638,2016,"$393,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 51 Block: 15 Plan: 992 3045,,,Spruce Grove,52,Langley Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4A4,53.5460179,-113.880708
52 LEYLAND WAY,2017079,30873939,007936,2016,"$385,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 100 Block: 11 Plan: 052 0033,,,Spruce Grove,52,Leyland Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4S2,53.5458928,-113.8734908
52 LINKSIDE BLVD,1378291,28125087,006731,2016,"$500,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 18 Block: 10 Plan: 992 5645,,,Spruce Grove,52,Linkside Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4A6,53.567146,-113.905639
52 LINKSVIEW DR,1858238,30030787,007295,2016,"$531,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 53 Block: 14 Plan: 032 4111,,,Spruce Grove,52,Linksview Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4P3,53.5686936,-113.9043853
52 LONGVIEW DR,2010293,30808729,007833,2016,"$599,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 39 Block: 13 Plan: 042 6508,,,Spruce Grove,52,Longview Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R7,53.56664600000001,-113.895801
52 MCKEAN WAY,1380105,11675354,003604,2016,"$363,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 104 Block: 1 Plan: 812 3014,,,Spruce Grove,52,McKean Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2S1,53.555682,-113.913594
52 MILLER AVE,1381467,14984272,002192,2016,"$350,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 1 Block: 6 Plan: 752 1495,,,Spruce Grove,52,Miller Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2P3,53.5547768,-113.9183148
52 MILLGROVE DR,1376733,14987953,002203,2016,"$335,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 12 Block: 6 Plan: 752 1495,,,Spruce Grove,52,Millgrove Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2M4,53.5533469,-113.9170789
52 MOREL DR,1380205,11677721,003701,2016,"$389,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 100 Block: 8 Plan: 812 3014,,,Spruce Grove,52,Morel Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2P9,53.558539,-113.917843
52 SPRING GATE,2176684,32151870,009597,2016,"$431,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 70 Block: 5 Plan: 062 8426,,,Spruce Grove,52,Spring Gate,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4M9,53.5534,-113.944251
52 SPRUCE GARDENS CRES,2748089,36584481,016497,2016,"$94,000.00",VACANT RESIDENTIAL LAND,Lot: 13A Block: 1 Plan: 152 1295,,,Spruce Grove,52,Spruce Gardens Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A5,53.5570435,-113.9408567
52 SPRUCE GROUSE CRES,1935451,30085469,007430,2016,"$357,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 12 Block: 6 Plan: 032 4578,,,Spruce Grove,52,Spruce Grouse Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4M9,53.5529017,-113.9394125
11 HUDSON COVE,2699438,35747575,014878,2016,"$348,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 105 Block: 11 Plan: 132 3212,,,Spruce Grove,,Hudson Cove,Spruce Grove,Alberta,Division No. 11,Canada,,53.5601558,-113.9524336
11 HULL WYND,2758424,36805613,016598,2016,"$131,400.00",VACANT RESIDENTIAL LAND,Lot: 99 Block: 7 Plan: 152 3840,,,Spruce Grove,,,,,,,,,
11 HUNTINGTON BAY,1380468,29473022,005415,2016,"$464,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 3 Block: 2 Plan: 022 5160,,,Spruce Grove,11,Huntington Bay,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4K7,53.561177,-113.937104
11 HUNTINGTON CRES,1380442,29472768,005387,2016,"$384,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 8 Block: 1 Plan: 022 5160,,,Spruce Grove,11,Huntington Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4K6,53.5600685,-113.9386669
11 HUXLEY COVE,2007363,30770572,007788,2016,"$388,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 127 Block: 1 Plan: 042 6078,,,Spruce Grove,11,Huxley Cove,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4S5,53.55972,-113.940141
11 KENSINGTON CL,2713272,35989565,015700,2016,"$332,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 6 Block: 3 Plan: 142 0028,,,Spruce Grove,11,Kensington Close,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B9,53.562922,-113.8789584
11 KENTON WAY,2695982,35697341,014768,2016,"$368,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 6 Block: 1 Plan: 132 2523,,,Spruce Grove,,Kenton Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B9,53.56415209999999,-113.8804901
11 LAMPLIGHT COVE,2014870,30851141,007917,2016,"$450,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 23 Block: 4 Plan: 042 6978,,,Spruce Grove,11,Lamplight Cove,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R2,53.5454728,-113.9360341
11 LAMPLIGHT DR,2014842,30850861,007889,2016,"$403,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 5 Block: 3 Plan: 042 6978,,,Spruce Grove,11,Lamplight Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R3,53.545475,-113.9374025
11 LANCASTER CL,1378442,28530708,007138,2016,"$388,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 27 Block: 14 Plan: 002 3477,,,Spruce Grove,11,Lancaster Close,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4B5,53.5473205,-113.8817848
52 STONESHIRE MANOR,1379949,12150645,004200,2016,"$689,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 29 Block: 8 Plan: 892 3227,,,Spruce Grove,52,Stoneshire Manor,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3E3,53.5602088,-113.9042235
52 TENOR LINK,2764429,36960946,017006,2016,"$107,100.00",VACANT RESIDENTIAL LAND,Lot: 33 Block: 4 Plan: 152 5202,,,Spruce Grove,,,,,,,,,
52 TONEWOOD BLVD,2741974,36475771,016392,2016,"$83,700.00",VACANT RESIDENTIAL LAND,Lot: 20 Block: 3 Plan: 142 5736,,,Spruce Grove,,Tonewood Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A7,53.5550054,-113.86851
52 TRIBUTE COMMON,2741999,36475441,016358,2016,"$106,800.00",VACANT RESIDENTIAL LAND,Lot: 24 Block: 2 Plan: 142 5736,,,Spruce Grove,,Tribute Common,,Alberta,Division No. 11,Canada,T7X 0A7,53.5543426,-113.8700506
52 VANDERBILT COMMON,2713246,35989979,015743,2016,"$377,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 12 Block: 4 Plan: 142 0028,,,Spruce Grove,,Vanderbilt Common,Spruce Grove,Alberta,Division No. 11,Canada,,53.56285219999999,-113.8804284
52 VANESSA AVE,2261535,32865108,011220,2016,"$490,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 26 Block: 15 Plan: 074 0020,,,Spruce Grove,52,Vanessa Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0G9,53.562631,-113.876631
52 VENICE BLVD,2098175,31471155,008805,2016,"$374,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 31 Block: 6 Plan: 052 6566,,,Spruce Grove,52,Venice Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B7,53.559971,-113.880708
52 VENTURA ST,1980226,30484562,007596,2016,"$322,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 2 Block: 4 Plan: 042 2517,,,Spruce Grove,52,Ventura Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4P6,53.559965,-113.8841657
52 VERNON ST,2154197,31961246,009226,2016,"$385,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 1 Block: 13 Plan: 062 6115,,,Spruce Grove,52,Vernon Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0C1,53.56126,-113.87861
52 VERONA CRES,2464688,34075466,012277,2016,"$606,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 13 Block: 18 Plan: 092 9990,,,Spruce Grove,52,Verona Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0J7,53.561628,-113.874627
52 VIVIAN WAY,2261598,32865488,011235,2016,"$334,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 7 Block: 16 Plan: 074 0020,,,Spruce Grove,52,Vivian Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0H3,53.56084999999999,-113.876014
52 VOLETA CRT,2464580,34076711,012109,2016,"$607,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 52 Block: 18 Plan: 094 0001,,,Spruce Grove,52,Voleta Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A7,53.5586851,-113.8725827
52 WAVERLEY CRES,1377223,19172626,001854,2016,"$332,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 1 Block: 10 Plan: 3371TR,,,Spruce Grove,52,Waverley Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1N8,53.552115,-113.907131
52 WELLINGTON CRES,1376500,13384888,002631,2016,"$277,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 34 Block: 2 Plan: 782 2918,,,Spruce Grove,52,Wellington Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1K2,53.553247,-113.898853
52 WEST TERRACE PL,1376391,13133269,002918,2016,"$337,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 16 Block: 7 Plan: 782 3421,,,Spruce Grove,52,West Terrace Place,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1T2,53.547224,-113.921189
52 WESTGLEN CRES,1376273,12574803,002703,2016,"$317,600.00",SINGLE FAMILY RESIDENTIAL,,,,Spruce Grove,52,Westglen Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1V8,53.543444,-113.916581
52 WINCHESTER AVE,1377113,18092841,001582,2016,"$337,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 12 Block: 4 Plan: 3083TR,,,Spruce Grove,52,Winchester Avenue,Spruce Grove,Alberta,Division No. 11,Canada,,53.5549308,-113.9061176
52 WOODSIDE CRES,1379893,12195617,004233,2016,"$433,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 28 Block: 11 Plan: 892 3275,,,Spruce Grove,52,Woodside Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3E6,53.5558484,-113.89983
520 KING ST,1378839,14018014,000945,2016,"$297,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 27 Block: 7 Plan: 5340RS,,,Spruce Grove,520,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1A9,53.55442840000001,-113.8967778
521 KING ST,1379738,19361609,001472,2016,"$328,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 7 Block: 2 Plan: 3083TR,,,Spruce Grove,521,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1B1,53.5545264,-113.8974993
521 MCLEOD AVE,1379623,16972226,000242,2016,"$406,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 6 Block: 2 Plan: 5179MC,,,Spruce Grove,521,McLeod Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0J5,53.543074,-113.893658
522 KING ST,1378846,16878647,000946,2016,"$295,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 28 Block: 7 Plan: 5340RS,,,Spruce Grove,522,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1A9,53.5545818,-113.8967662
524 KING ST,1378838,11751336,000919,2016,"$293,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 1 Block: 7 Plan: 5340RS,,,Spruce Grove,524,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1B3,53.554789,-113.896787
525 KING ST,1379730,18119974,001470,2016,"$335,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 5 Block: 2 Plan: 3083TR,,,Spruce Grove,525,King Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1B1,53.55476299999999,-113.89772
53 320 SPRUCE RIDGE RD,2394535,33770280,011865,2016,"$230,700.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 8 Plan: 092 1385,,,Spruce Grove,320,Spruce Ridge Road,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0H5,53.55677799999999,-113.935783
